http://www.xpgamesaves.com/topic/101174-dark-souls-2-item-hex-ids-thread/ password--mrantifun.net
Items:
 
Smooth & Silky Stone    03085E00
Dragon Acolyte Boots    Legs    01618C37
Dragon Sage Hood    Head    0161901C
Ruin Helm    Head    0162C4B4
Ruin Armor    Chest    0162C4B5
Ruin Gauntlets    Hands    0162C4B6
Ruin Leggings    Legs    0162C4B7
Old Knight Helm    Head    01638804
Old Knight Armor    Chest    01638805
Old Knight Gauntlets    Hands    01638806
Old Knight Leggings    Legs    01638807
Drakekeeper Helm    Head    0163AF14
Drakekeeper Armor    Chest    0163AF15
Drakekeeper Gauntlets    Hands    0163AF16
Drakekeeper Boots    Legs    0163AF17
Throne Defender Helm    Head    0163D624
Throne Defender Armor    Chest    0163D625
Throne Defender Gauntlets    Hands    0163D626
Throne Defender Leggings    Legs    0163D627
Velstadt's Helm    Head    0163FD34
Velstadt's Armor    Chest    0163FD35
Velstadt's Gauntlets    Hands    0163FD36
Velstadt's Leggings    Legs    0163FD37
Throne Watcher Helm    Head    01642444
Throne Watcher Armor    Chest    01642445
Throne Watcher Gauntlets    Hands    01642446
Throne Watcher Leggings    Legs    01642447
Looking Glass Mask    Head    017E14E4
Looking Glass Armor    Chest    017E14E5
Looking Glass Gauntlets    Hands    017E14E6
Looking Glass Leggings    Legs    017E14E7
Agdayne's Black Robe    Chest    017E6305
Agdayne's Cuffs    Hands    017E6306
Agdayne's Kilt    Legs    017E6307
Leydia Black Hood    Head    017ED834
Leydia Black Robe    Chest    017ED835
Insolent Helm    Head    017EFF44
Insolent Armor    Chest    017EFF45
Insolent Gloves    Hands    017EFF46
Insolent Boots    Legs    017EFF47
Imperious Helm    Head    017F2654
Imperious Armor    Chest    017F2655
Imperious Gloves    Hands    017F2656
Imperious Leggings    Legs    017F2657
Leydia White Hood    Head    017F4D64
Leydia White Robe    Chest    017F4D65
Leydia Gauntlets    Hands    017F4D66
King's Crown    Head    017F7474
King's Armor    Chest    017F7475
King's Gauntlets    Hands    017F7476
King's Leggings    Legs    017F7477
Dragonrider Helm    Head    018E4184
Dragonrider Armor    Chest    018E4185
Dragonrider Gauntlets    Hands    018E4186
Dragonrider Leggings    Legs    018E4187
Executioner Helm    Head    018F7A04
Executioner Armor    Chest    018F7A05
Executioner Gauntlets    Hands    018F7A06
Executioner Leggings    Legs    018F7A07
Penal Mask    Head    0190B284
Penal Straight Jacket    Chest    0190B285
Penal Handcuffs    Hands    0190B286
Penal Skirt    Legs    0190B287
Llewellyn Armor    Chest    019F3175
Llewellyn Gloves    Hands    019F3176
Llewellyn Shoes    Legs    019F3177
Drangleic Helm    Head    019FA6A4
Drangleic Mail    Chest    019FA6A5
Drangleic Gauntlets    Hands    019FA6A6
Drangleic Leggings    Legs    019FA6A7
Creighton's Steel Mask    Head    01A265C4
Creighton's Chainmail    Chest    01A265C5
Creighton's Chain Gloves    Hands    01A265C6
Creighton's Chain Leggings    Legs    01A265C7
Benhart's Knight Helm    Head    01A28CD4
Benhart's Armor    Chest    01A28CD5
Benhart's Gauntlets    Hands    01A28CD6
Benhart's Boots    Legs    01A28CD7
Standard Helm    Head    01A2B3E4
Hard Leather Armor    Chest    01A2B3E5
Hard Leather Gauntlets    Hands    01A2B3E6
Hard Leather Boots    Legs    01A2B3E7
Cale's Helm    Head    01A3C554
Cale's Leather Armor    Chest    01A3C555
????    ????    01A3C556
Cale's Shoes    Legs    01A3C557
Lucatiel's Mask    Head    01A3EC64
Lucatiel's Vest    Chest    01A3EC65
Lucatiel's Gloves    Hands    01A3EC66
Lucatiel's Trousers    Legs    01A3EC67
Bell Keeper Helmet    Head    01A41374
Bell Keeper Bellyband    Chest    01A41375
Bell Keeper Cuffs    Hands    01A41376
Bell Keeper Trousers    Legs    01A41377
Mad Warrior Mask    Head    01A46194
Mad Warrior Armor    Chest    01A46195
Mad Warrior Gauntlets    Hands    01A46196
Mad Warrior Leggings    Legs    01A46197
????    ????    01A59A15
Black Hood    Head    01A65D64
Black Robes    Chest    01A65D65
Black Gloves    Hands    01A65D66
Black Boots    Legs    01A65D67
Saint's Hood    Head    01A68474
Saint's Dress    Chest    01A68475
Saint's Long Gloves    Hands    01A68476
Saint's Trousers    Legs    01A68477
Hexer's Hood    Head    01A6AB84
Hexer's Robe    Chest    01A6AB85
Hexer's Gloves    Hands    01A6AB86
Hexer's Boots    Legs    01A6AB87
Chaos Hood    Head    01A6D294
Chaos Robe    Chest    01A6D295
Chaos Gloves    Hands    01A6D296
Chaos Boots    Legs    01A6D297
Nahr Alma Hood    Head    01A8A754
Nahr Alma Robes    Chest    01A8A755
Targray's Helm    Head    01AA7C14
Targray's Armor    Chest    01AA7C15
Targray's Manifers    Hands    01AA7C16
Targray's Leggings    Legs    01AA7C17
 
Rings:
 
Name    Hex ID
Life Ring    02628110
Life Ring+1    02628111
Life Ring+2    02628112
Cloranthy Ring    0262A820
Cloranthy Ring+1    0262A821
Cloranthy Ring+2    0262A822
Royal Soldier's Ring    0262CF30
Royal Soldier's Ring+1    0262CF31
Royal Soldier's Ring+2    0262CF32
First Dragon Ring    0262F640
Second Dragon Ring    0262F641
Third Dragon Ring    0262F642
Ring Of Steel Protection    02631D50
Ring Of Steel Protection+1    02631D51
Ring Of Steel Protection+2    02631D52
Spell Quartz Ring    02634460
Spell Quartz Ring+1    02634461
Spell Quartz Ring+2    02634462
Flame Quartz Ring    02636B70
Flame Quartz Ring+1    02636B71
Flame Quartz Ring+2    02636B72
Thunder Quartz Ring    02639280
Thunder Quartz Ring+1    02639281
Thunder Quartz Ring+2    02639282
Dark Quartz Ring    0263B990
Dark Quartz Ring+1    0263B991
Dark Quartz Ring+2    0263B992
Poisonbite Ring    0263E0A0
Bloodbite Ring    026407B0
Bracing Knuckle Ring    02642EC0
Bracing Knuckle Ring+1    02642EC1
Bracing Knuckle Ring+2    02642EC2
Cursebite Ring    026455D0
Ash Knuckle Ring    02646958
Dispelling Ring    02647CE0
Ring Of Resistance    0264A3F0
Ring Of Blades    0264CB00
Ring Of Blades+1    0264CB01
Ring Of Blades+2    0264CB02
Ring Of Knowledge    02658E50
Ring Of Prayer    0265B560
Stone Ring    0265DC70
Red Tearstone Ring    026651A0
Blue Tearstone Ring    02669FC0
Ring Of Giants    0266C6D0
Ring Of Giants+1    0266C6D1
Ring Of Giants+2    0266C6D2
Old Leo Ring    0266DA58
Ring Of Soul Protection    0266EDE0
Ring Of Life Protection    026714F0
Lingering Dragoncrest Ring    02673C00
Lingering Dragoncrest Ring+1    02673C01
Lingering Dragoncrest Ring+2    02673C02
Clear Bluestone Ring    02676310
Clear Bluestone Ring+1    02676311
Clear Bluestone Ring+2    02676312
Northern Ritual Band    02678A20
Northern Ritual Band+1    02678A21
Northern Ritual Band+2    02678A22
Southern Ritual Band    0267B130
Southern Ritual Band+1    0267B131
Southern Ritual Band+2    0267B132
Covetous Gold Serpent Ring    0267D840
Covetous Gold Serpent Ring+1    0267D841
Covetous Gold Serpent Ring+2    0267D842
Covetous Silver Serpent Ring    0267FF50
Covetous Silver Serpent Ring+1    0267FF51
Covetous Silver Serpent Ring+2    0267FF52
Ring Of The Evil Eye    02684D70
Ring Of The Evil Eye+1    02684D71
Ring Of The Evil Eye+2    02684D72
Ring Of Restoration    02687480
Ring Of Binding    02689B90
Silvercat Ring    0268C2A0
Redeye Ring    0268E9B0
Gower's Ring Of Protection    026910C0
Name-engraved Ring    026937D0
Slumbering Dragoncrest Ring    02695EE0
Hawk Ring    026985F0
Old Sun Ring    0269AD00
Illusory Ring Of A Conqueror    0269FB20
King's Ring    026A2230
Ring Of The Dead    026A4940
Ring Of Thorns    026A7050
Ring Of Thorns+1    026A7051
Ring Of Thorns+2    026A7052
Delicate String    026A9760
White Ring    026ABE70
???    026AE580
???    026B0C90
Ring Of Whisper    026BA8D0
Illusory Ring Of The Exalted    026BCFE0
Crest Of The Rat    026D0860
Bell Keeper's Seal    026D2F70
Guardian Seal    026D5680
Crest Of Blood    026D7D90
Blue Seal    026DA4A0
Abyss Seal    026DCBB0
Vanquisher's Seal    026DF2C0
Sun Seal    026E19D0
Ancient Dragon Seal    026E40E0
 
Arrow Bolt:

Name    Type    Hex ID
Wood arrow    Arrow    039F1FC0
Iron arrow    Arrow    039F46D0
Magic arrow    Arrow    039F6DE0
Lightning arrow    Arrow    039F94F0
Fire arrow    Arrow    039FBC00
Dark arrow    Arrow    039FE310
Poison arrow    Arrow    03A00A20
Lacerating arrow    Arrow    03A03130
Iron greatarrow    Greatarrow    03A07F50
Lightning greatarrow    Greatarrow    03A0CD70
Fire greatarrow    Greatarrow    03A0F480
Destrctive greatarrow    Greatarrow    03A142A0
Wood bolt    Bolt    03A169B0
Heavy bolt    Bolt    03A190C0
Magic bolt    Bolt    03A1B7D0
Lightning bolt    Bolt    03A1DEE0
Fire bolt    Bolt    03A205F0
Dark bolt    Bolt    03A22D00
        

Items for upgrades:

Large Titanite Shard    03A26798
Titanite Chunk    03A27B20
Titanite Slab    03A2A230
Twinkling Titanite    03A2C940
Petrified Dragon Bone    03A33E70
Faintstone    03A3B3A0
Boltstone    03A3DAB0
Firedrake Stone    03A401C0
Darknight Stone    03A428D0
Poison Stone    03A44FE0
Bleed Stone    03A476F0
Raw Stone    03A4C510
Magic Stone    03A4EC20
Old Mundane Stone    03A51330
Palestone    03A53A40
    

Keys:

Soldier Key    03041840
Key To King Passage    03043F50
????    0304B480
????    0304DB90
Bastille Key    03072580
Iron Key    03074C90
Forgotten Key    030773A0
Brightstone Key    03079AB0
Antiquated Key    0307C1C0
Fang Key    0307E8D0
House Key    03080FE0
Lenigrast's Key    030836F0
Rotunda Lockstone    03088510
Giant's Kinship    0308AC20
Ashen Mist Heart    0308D330
Tseldora Den Key    03092150
Ladder Miniature    03096F70
Undead Lockaway Key    0309BD90
Dull Ember    030A0BB0
Aldia Key    030AA7F0
